id,slug,brand,name,concentration,gender,family,subfamily,launch_year,perfumer,country,description,top_notes,middle_notes,base_notes,accords,season,occasion,longevity,sillage,price_segment,amazon_url,source_url,image_url,image_source,affiliate_status,source_verified,data_confidence,visual_quality,review_status,seo_title,seo_description,status,notes,created_at,updated_at
31,straight-to-heaven-white-cristal-edp,By Kilian,"Straight to Heaven, white cristal",EDP,unisex,amaderado,pending,2007,Sidonie Lancesseur,Francia,Amaderado especiado de la colección 'The Cellars'; ron y nuez moscada sobre pachulí y vainilla.,ron;nuez moscada,pachuli,vainilla;madera de cedro,pending,pending,pending,pending,pending,lujo,pending,https://www.bykilian.com/product/19797/50772/perfume/straight-to-heaven-white-cristal/the-cellars,pending,pending,no-applicable,true,medium,not-audited,pending,"By Kilian Straight to Heaven, white cristal",Amaderado especiado de la colección 'The Cellars'; ron y nuez moscada sobre pachulí y vainilla.,draft,"Nombre exacto vigente en catálogo oficial es 'Straight to Heaven, white cristal' (no simplemente 'Straight to Heaven' — esa versión original de 2007 sin el calificador parece haber sido descontinuada/reformulada). Pirámide y perfumista confirmados en sitio oficial. launch_year (2007) corresponde a la versión original, no confirmado si esta variante 'white cristal' tiene fecha propia distinta. price_segment sin precio unitario claro capturado.",2026-08-07,2026-08-07
32,eau-rose-edt,Diptyque,Eau Rose,EDT,femenino,pending,pending,2012,pending,Francia,Floral rosado luminoso; rosa damascena y centifolia con un giro afrutado de lichi.,pending,pending,pending,rosa damascena;rosa centifolia;acorde de lichi;ambroxan,pending,pending,pending,pending,pending,pending,https://www.diptyqueparis.com/en_us/p/eau-de-toilette-eau-rose-50ml-1.html,pending,pending,no-applicable,true,medium,not-audited,pending,Diptyque Eau Rose,Floral rosado luminoso; rosa damascena y centifolia con un giro afrutado de lichi.,draft,"Confirmado en sitio oficial: sin pirámide por niveles, lista plana de 4 notas principales. Existe también versión EDP, distinta — se registró específicamente EDT. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07
33,not-a-perfume-edp,Juliette Has a Gun,Not a Perfume,EDP,unisex,almizclado ambarado,pending,2010,Romano Ricci,Francia,"Fragancia mono-molecular de Cetalox; concepto minimalista, 'el no-perfume' que huele a piel limpia.",cetalox,cetalox,cetalox,pending,pending,pending,pending,pending,medio,pending,https://us.juliettehasagun.com/products/not-a-perfume,pending,pending,no-applicable,true,high,not-audited,pending,Juliette Has a Gun Not a Perfume,"Fragancia mono-molecular de Cetalox; concepto minimalista, 'el no-perfume' que huele a piel limpia.",draft,"Confirmado en sitio oficial: fragancia mono-molecular, la pirámide completa oficial es Cetalox en los 3 niveles (caso especial, no error de transcripción). Romano Ricci está citado como 'creator' en el sitio, no está claro si es el perfumista técnico o solo el director creativo — se registra igual con esta salvedad documentada. price_segment: precio oficial confirmado ($34) corresponde al formato travel spray 7.5ml, no al tamaño estándar — se registra 'medio' con cautela, ver notes para el detalle del precio real.",2026-08-07,2026-08-07
34,rien-edp,Etat Libre d'Orange,Rien,EDP,unisex,amaderado especiado,pending,2006,Antoine Lie,Francia,Amaderado especiado provocador; cuero y pimienta negra en la firma irreverente de la casa francesa.,pimienta negra;safraleine (acorde azafran-cuero);esencia de incienso orpur,cuero;iris absoluto;cistus absoluto,esencia de pachuli orpur;esencia de vetiver orpur;musgo de arbol,pending,pending,pending,pending,pending,premium,pending,https://www.etatlibredorange.com/products/rien,pending,pending,no-applicable,true,high,not-audited,pending,Etat Libre d'Orange Rien,Amaderado especiado provocador; cuero y pimienta negra en la firma irreverente de la casa francesa.,draft,"Family confirmada en sitio oficial ('Woody, Spicy'). Precio oficial confirmado en euros: 160€/100ml, 105€/50ml — no convertido a USD, se deja price_segment como estimación 'premium' con esta salvedad.",2026-08-07,2026-08-07
35,taif-edp,Ormonde Jayne,Ta'if,EDP,unisex,floral ambarado,ambarado,2004,Geza Schoen,Reino Unido,Floral ambarado inspirado en la ciudad árabe de las rosas; dátiles y azafrán sobre vainilla ugandesa.,pimienta rosa;azafran;datiles,acorde de rosa;fresia;absoluto de azahar;jazmin,absoluto de vainilla ugandesa;retama;ambar,pending,pending,pending,pending,pending,lujo,pending,https://ormondejayne.com/en-us/products/ta-if-1,pending,pending,no-applicable,true,medium,not-audited,pending,Ormonde Jayne Ta'if,Floral ambarado inspirado en la ciudad árabe de las rosas; dátiles y azafrán sobre vainilla ugandesa.,draft,"CONFLICTO DE VERSIÓN: el sitio oficial vigente muestra una reformulación ('New Parfum Strength') con pirámide distinta a versiones anteriores reportadas por Fragrantica (que no incluye vainilla en base y sí incluye 'Taif Rose'). Se priorizó la versión del sitio oficial vigente según regla 1 del brief, documentando que puede no coincidir con reseñas más antiguas. Precio oficial confirmado: $290/88ml.",2026-08-07,2026-08-07
36,bat-extrait,Zoologist Perfumes,Bat,Extrait de Parfum,unisex,pending,pending,2020,Prin Lomros,Canada,Extrait inspirado en cuevas tropicales; higo y fruta de la pasión sobre acordes minerales y de cuero.,higo;fruta de la pasion;guayaba rosada;acorde de tierra,heno;incienso;minerales;jazmin nocturno,notas animalicas (sinteticas);cuero (sintetico);piedras musgosas;madera de teca;vetiver,pending,pending,pending,pending,pending,lujo,pending,https://www.zoologistperfumes.com/products/zoologist-bat-deluxe-bottle,pending,pending,no-applicable,true,high,not-audited,pending,Zoologist Perfumes Bat,Extrait inspirado en cuevas tropicales; higo y fruta de la pasión sobre acordes minerales y de cuero.,draft,"CORRECCIÓN DE CONCENTRACIÓN: el encargo original pedía 'Eau de Parfum', pero el sitio oficial confirma que la edición vigente (2020) es Extrait de Parfum al 20%, no EDP — se registró la concentración real. Existe una versión original de 2015 descontinuada con perfumista distinto (Ellen Covey) y notas diferentes — se registró la edición 2020 vigente. La marca aclara explícitamente que no usa productos animales pese a los nombres de notas 'animalic'/'leather'. Precio oficial confirmado: $200/60ml.",2026-08-07,2026-08-07
37,bleu-de-chanel-parfum,Chanel,Bleu de Chanel,Parfum,masculino,pending,pending,2018,Olivier Polge,Francia,Versión Parfum del icónico Bleu de Chanel; mayor intensidad y persistencia que la EDT y EDP.,ralladura de limon;bergamota;menta;artemisa,lavanda;piña;geranio;notas verdes,sandalo;cedro;madera ambarada;iso e super;haba tonka,pending,pending,pending,pending,pending,lujo,pending,https://www.fragrantica.com/perfume/Chanel/Bleu-de-Chanel-Parfum-49912.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chanel Bleu de Chanel,Versión Parfum del icónico Bleu de Chanel; mayor intensidad y persistencia que la EDT y EDP.,draft,"VARIANTE RELACIONADA: 'Bleu de Chanel EDP' ya existe en el catálogo baseline (PERFUMES_INITIAL_50.csv) — este es un producto DISTINTO, concentración Parfum lanzada en 2018 (posterior a EDT 2010 y EDP 2014). No se fusionó con el registro existente. Datos de Fragrantica (secundaria) — no se accedió a chanel.com directamente. Family sin clasificación formal confirmada.",2026-08-07,2026-08-07
38,green-irish-tweed-edp,Creed,Green Irish Tweed,EDP,masculino,fougere aromatico,verde y maderas musgosas,1985,pending,Francia,"Fougère aromático fresco; menta y violeta sobre sándalo, un referente masculino desde los 80.",menta;verbena;limon;bergamota;galbano,geranio;lavanda;violeta,sandalo;cedro;ambroxan;musgo de roble,pending,pending,pending,pending,pending,lujo,pending,https://creedboutique.com/products/green-irish-tweed,pending,pending,no-applicable,true,high,not-audited,pending,Creed Green Irish Tweed,"Fougère aromático fresco; menta y violeta sobre sándalo, un referente masculino desde los 80.",draft,"Family y subfamily confirmadas en sitio oficial creedboutique.com. Perfumista (Pierre Bourdon, con Olivier Creed) es atribución de fuente secundaria ampliamente documentada, no confirmada en la ficha oficial. Precio oficial confirmado: $490/50ml (tamaño más chico disponible).",2026-08-07,2026-08-07
39,millesime-imperial-edp,Creed,Millésime Impérial,EDP,unisex,citrico marino y amaderado,marino y amaderado,1995,pending,Francia,Cítrico marino inspirado en el Mediterráneo; bergamota y acorde salino sobre maderas limpias.,bergamota;grosella negra;hojas de violeta,iris;acorde marino salino,madera de cedro;almizcle;sandalo,pending,pending,pending,pending,pending,lujo,pending,https://creedboutique.com/products/millesime-imperial,pending,pending,no-applicable,true,high,not-audited,pending,Creed Millésime Impérial,Cítrico marino inspirado en el Mediterráneo; bergamota y acorde salino sobre maderas limpias.,draft,"Family y subfamily confirmadas en sitio oficial. launch_year de Fragrantica (secundaria), no confirmado explícitamente en oficial. Perfumista NO VERIFICADO en ninguna fuente consultada. Precio oficial confirmado: $490/50ml.",2026-08-07,2026-08-07
40,habit-rouge-edt,Guerlain,Habit Rouge,EDT,masculino,oriental amaderado,pending,1965,Jean-Paul Guerlain,Francia,"Oriental amaderado pionero; primer fougère oriental masculino de Guerlain, con acorde de cuero y vainilla.",limon;palo de rosa brasileño;naranja;bergamota;lima;mandarina;albahaca,rosa;clavel;sandalo;canela;pachuli;jazmin;cedro,vainilla;cuero;benjui;ambar;musgo de roble;labdano,pending,pending,pending,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Guerlain/Habit-Rouge-Eau-de-Toilette-16.html,pending,pending,no-applicable,true,low,not-audited,pending,Guerlain Habit Rouge,"Oriental amaderado pionero; primer fougère oriental masculino de Guerlain, con acorde de cuero y vainilla.",draft,"CONFLICTO DE FECHA NO RESUELTO: 1965 es la fecha de creación/concepto original de la línea Habit Rouge (Eau de Cologne); existen reorquestaciones posteriores (EDT 1988, EDP 2003, Parfum 2024) y no quedó claro a cuál corresponde exactamente esta ficha de Fragrantica. Se registró 1965 como referencia de origen de línea, documentando la ambigüedad. No se accedió a guerlain.com directamente. data_confidence bajo por esta e imprecisión de fecha.",2026-08-07,2026-08-07
41,coco-mademoiselle-edp,Chanel,Coco Mademoiselle,EDP,femenino,pending,pending,2001,Jacques Polge,Francia,Oriental fresco icónico; reinterpretación juvenil del espíritu Chanel para el nuevo milenio.,bergamota;naranja;pomelo,rosa;lichi;jazmin,pachuli;vainilla;almizcle;vetiver,pending,pending,pending,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Chanel/Coco-Mademoiselle-611.html,pending,pending,no-applicable,true,medium,not-audited,pending,Chanel Coco Mademoiselle,Oriental fresco icónico; reinterpretación juvenil del espíritu Chanel para el nuevo milenio.,draft,No se accedió a chanel.com directamente en esta investigación — datos de Fragrantica (secundaria). Family sin clasificación formal confirmada.,2026-08-07,2026-08-07
42,luna-rossa-edt,Prada,Luna Rossa,EDT,masculino,fougere aromatico,pending,2012,pending,Italia,"Fougère aromático fresco; lavanda y menta verde sobre ámbar, inspirado en las velas de competición.",pending,pending,pending,lavanda;menta verde (spearmint);ambar,pending,pending,pending,pending,pending,pending,https://www.prada-beauty.com/fragrance/luna-rossa/luna-rossa-eau-de-toilette/MPL01360.html,pending,pending,no-applicable,true,medium,not-audited,pending,Prada Luna Rossa,"Fougère aromático fresco; lavanda y menta verde sobre ámbar, inspirado en las velas de competición.",draft,"Confirmado en sitio oficial: NO publica pirámide con niveles, solo describe 3 ingredientes en prosa (lavanda, menta verde, ámbar) — se preservan como accords sin nivel, no se fuerza pirámide. Una fuente secundaria (Fragrantica, no verificada directamente) añade una pirámide más completa (top: lavender absolute/bitter orange; heart: clary sage; base: ambrette/ambroxan) — no se usó por no estar confirmada en esta pasada. Precio oficial confirmado: $136/100ml.",2026-08-07,2026-08-07
43,signorina-edp,Salvatore Ferragamo,Signorina,EDP,femenino,pending,pending,2011,Sophie Labbé; Juliette Karagueuzoglou,Italia,Floral afrutado juvenil; pera y grosella negra sobre un fondo cremoso de panna cotta.,grosella negra;pimienta rosa,jazmin;peonia;rosa,almizcle;panna cotta;pachuli,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/perfume/Salvatore-Ferragamo/Signorina-13639.html,pending,pending,no-applicable,true,medium,not-audited,pending,Salvatore Ferragamo Signorina,Floral afrutado juvenil; pera y grosella negra sobre un fondo cremoso de panna cotta.,draft,"No se pudo acceder a ferragamo.com directamente (contenido cargado por JS, no renderizó datos de producto en el fetch) — datos de Fragrantica (secundaria). price_segment sin precio confiable.",2026-08-07,2026-08-07
44,leau-dissey-pour-homme-edt,Issey Miyake,L'Eau d'Issey Pour Homme,EDT,masculino,pending,pending,1994,pending,Francia,"Acuático amaderado masculino; contraparte del icónico L'Eau d'Issey femenino, cítricos sobre maderas limpias.",yuzu;limon;bergamota;verbena de limon;mandarina;cipres;calone;cilantro;salvia;estragon,loto azul;lirio de los valles;nuez moscada;geranio bourbon;azafran;canela de ceylan;mignonette,vetiver tahitiano;almizcle;cedro;sandalo;ambar;tabaco,pending,pending,pending,pending,pending,medio,pending,https://www.fragrantica.com/perfume/Issey-Miyake/L-Eau-d-Issey-Pour-Homme-721.html,pending,pending,no-applicable,true,low,not-audited,pending,Issey Miyake L'Eau d'Issey Pour Homme,"Acuático amaderado masculino; contraparte del icónico L'Eau d'Issey femenino, cítricos sobre maderas limpias.",draft,"CONFLICTO DE ATRIBUCIÓN NO RESUELTO: la fuente atribuye la fragancia a Jacques Cavallier Belletrud, inconsistente con la fecha de lanzamiento 1994 según referencias estándar de la industria — no se pudo confirmar en sitio oficial issey-miyake-parfums.com. Se deja perfumer pending por esta duda, no se registra el nombre dudoso. data_confidence bajo.",2026-08-07,2026-08-07
45,amen-edt,Mugler,A*Men,EDT,masculino,ambarado gourmand,pending,1996,Jacques Huclier,Francia,"Ambarado gourmand pionero; café y pachulí sobre vainilla bourbon, primera fragancia masculina de la casa.",pending,pending,pending,pachuli;absoluto abstracto de cafe;lavanda;notas ahumadas y amaderadas;vainilla bourbon,pending,pending,pending,pending,pending,pending,https://www.mugler.com/fragrance/mens-fragrances/a-men/a-men-eau-de-toilette/M020101024.html,pending,pending,no-applicable,true,medium,not-audited,pending,Mugler A*Men,"Ambarado gourmand pionero; café y pachulí sobre vainilla bourbon, primera fragancia masculina de la casa.",draft,"Confirmado en sitio oficial: NO publica pirámide top/middle/base — describe la fragancia en prosa continua. Se registraron las notas explícitamente mencionadas como 'key notes' en accords, sin forzar niveles. price_segment sin precio confiable capturado.",2026-08-07,2026-08-07
46,phantom-edt,Rabanne,Phantom,EDT,masculino,pending,pending,2021,Anne Flipo; Dominique Ropion; Loc Dong; Juliette Karagueuzoglou,Francia,Amaderado tecnológico con lavanda y manzana; frasco futurista en forma de altavoz inteligente.,lavanda;ralladura de limon;limon amalfi,lavanda;manzana;pachuli;humo;notas terrosas,vainilla;lavanda;vetiver,pending,pending,pending,pending,pending,pending,pending,https://www.fragrantica.com/news/,pending,pending,no-applicable,true,medium,not-audited,pending,Rabanne Phantom,Amaderado tecnológico con lavanda y manzana; frasco futurista en forma de altavoz inteligente.,draft,"No se accedió a rabanne.com directamente — fuente secundaria únicamente (Fragrantica vía WWD). URL de source_url es genérica de noticias, no ficha de producto directa — marcado para que Code re-verifique con URL específica de ficha si es posible. Equipo de 4 perfumistas confirmado por esa fuente secundaria. price_segment sin fuente confiable.",2026-08-07,2026-08-07
47,loewe-001-woman-edp,Loewe,001 Woman,EDP,femenino,floral oriental,pending,2016,pending,Espana,"Floral oriental minimalista; jazmín y lino sobre almizcle, primera fragancia de la maison española.",pending,pending,pending,jazmin;lino;almizcle,pending,pending,pending,pending,pending,pending,https://www.loewe.com/usa/en/women/fragrance/loewe-001-woman-eau-de-parfum-50ml/P000487X04-0000.html,pending,pending,no-applicable,true,medium,not-audited,pending,Loewe 001 Woman,"Floral oriental minimalista; jazmín y lino sobre almizcle, primera fragancia de la maison española.",draft,"ACLARACIÓN DE IDENTIDAD: no existe un 'Loewe 001' único unisex — el catálogo oficial separa 001 Woman y 001 Man (ambos EDP, 2016), más una '001 Eau de Cologne' unisex distinta (2019). Se registraron Woman y Man como dos filas separadas en vez de forzar una identidad única falsa. Sitio oficial no publica pirámide con niveles — lista plana de 3 notas. Perfumista y price_segment NO VERIFICADOS.",2026-08-07,2026-08-07
48,loewe-001-man-edp,Loewe,001 Man,EDP,masculino,amaderado almizclado,pending,2016,pending,Espana,Amaderado almizclado minimalista; semilla de zanahoria y ciprés sobre almizcle limpio.,pending,pending,pending,almizcle;semilla de zanahoria;cipres,pending,pending,pending,pending,pending,pending,https://www.loewe.com/usa/en/men/fragrances/loewe-001-man-eau-de-parfum-50-ml/P000487X03-0000.html,pending,pending,no-applicable,true,medium,not-audited,pending,Loewe 001 Man,Amaderado almizclado minimalista; semilla de zanahoria y ciprés sobre almizcle limpio.,draft,Contraparte masculina de Loewe 001 Woman (ver notes de ese registro para la aclaración de identidad completa). Sitio oficial no publica pirámide con niveles — lista plana de 3 notas. Perfumista y price_segment NO VERIFICADOS.,2026-08-07,2026-08-07
49,black-afgano-extrait,Nasomatto,Black Afgano,Extrait de Parfum,unisex,pending,pending,2009,Alessandro Gualtieri,Italia,Extrait cannábico y resinoso de culto; una de las fragancias más controvertidas y buscadas del nicho underground.,cannabis;notas verdes;davana;azafran;tomillo,resinas;notas boscosas;tabaco;cafe;canela;frambuesa;violeta,agarwood (oud);incienso;ambar;notas animalicas;madera de guayaco;almizcle;cedro;haba tonka,pending,pending,pending,pending,pending,premium,pending,https://www.fragrantica.com/perfume/Nasomatto/Black-Afgano-6472.html,pending,pending,no-applicable,true,medium,not-audited,pending,Nasomatto Black Afgano,Extrait cannábico y resinoso de culto; una de las fragancias más controvertidas y buscadas del nicho underground.,draft,No se accedió a nasomatto.com directamente — datos de Fragrantica (secundaria) únicamente. Family sin clasificación formal confirmada. price_segment sin fuente confiable.,2026-08-07,2026-08-07
50,new-york-signature-scent-pure-perfume,Bond No. 9,New York Signature Scent,Pure Perfume 30%,unisex,pending,pending,2009,pending,Estados Unidos,Pure perfume de altísima concentración creado para el 10º aniversario de la boutique NoHo; oud y rosa sobre musgo.,extracto de oud;rosa,habas tonka,almizcle,pending,pending,pending,pending,pending,lujo,pending,https://www.bondno9.com/products/new-york-signature-scent,pending,pending,no-applicable,true,medium,not-audited,pending,Bond No. 9 New York Signature Scent,Pure perfume de altísima concentración creado para el 10º aniversario de la boutique NoHo; oud y rosa sobre musgo.,draft,"CORRECCIÓN DE NOMBRE: el encargo original pedía 'Bond No. 9 — New York', pero 'New York' es el nombre de la ciudad/concepto de la marca, no un producto específico — no existe un perfume llamado simplemente así. El nombre real del producto es 'New York Signature Scent' (también aparece como 'Bond No. 9 Perfume'/'Bond No. 9 Perfume Oud' en fuentes más antiguas, posiblemente el mismo producto renombrado — señalado para que Code lo tenga en cuenta y evite duplicar si 'Bond No. 9 Perfume' aparece en otro batch). Concentración real es Pure Perfume al 30%, no EDP estándar — se registró tal cual. Family, perfumer y launch_year exacto no confirmados en fuente oficial (los tags 'Floral, Warm & Spicy, Woody & Earthy' del sitio son taxonomía de navegación/filtros de e-commerce, no ficha técnica formal — no se registraron como family verificada). Precio oficial confirmado: $490/100ml.",2026-08-07,2026-08-07
