perfume_slug,perfume_name,brand,image_role,source_url,source_domain,local_file,license_status,original_width,original_height,aspect_ratio,background_type,product_crop,visual_quality,needs_processing,processing_status,final_file,reviewed_by,review_date,notes
interlude-man,Interlude Man,Amouage,catalog-primary,https://m.media-amazon.com/images/I/61wCYX-x36L._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
interlude-man,Interlude Man,Amouage,editorial-hero,apps/web/public/ovl/interlude-man.jpg,not-applicable,apps/web/public/ovl/interlude-man.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
j-adore-edp,J'adore EDP,Dior,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/dior/3348901738231_01/jadore___241218.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
j-adore-edp,J'adore EDP,Dior,editorial-hero,apps/web/public/ovl/j-adore-edp.jpg,not-applicable,apps/web/public/ovl/j-adore-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
la-vie-est-belle,La Vie Est Belle,Lancome,catalog-primary,https://cdn.notinoimg.com/detail_main_hq/lancome/3605533286555_01-o/la-vie-est-belle___250312.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
la-vie-est-belle,La Vie Est Belle,Lancome,editorial-hero,apps/web/public/ovl/la-vie-est-belle.jpg,not-applicable,apps/web/public/ovl/la-vie-est-belle.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
layton,Layton,Parfums de Marly,catalog-primary,https://m.media-amazon.com/images/I/61wXNLe0iaL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
layton,Layton,Parfums de Marly,editorial-hero,apps/web/public/ovl/layton.jpg,not-applicable,apps/web/public/ovl/layton.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
le-male,Le Male,Jean Paul Gaultier,catalog-primary,https://m.media-amazon.com/images/I/51axP1TADaL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
le-male,Le Male,Jean Paul Gaultier,editorial-hero,apps/web/public/ovl/le-male.jpg,not-applicable,apps/web/public/ovl/le-male.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
libre-edp,Libre EDP,Yves Saint Laurent,catalog-primary,https://m.media-amazon.com/images/I/51v0HbffdGL._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
libre-edp,Libre EDP,Yves Saint Laurent,editorial-hero,apps/web/public/ovl/libre-edp.jpg,not-applicable,apps/web/public/ovl/libre-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
light-blue,Light Blue,Dolce & Gabbana,catalog-primary,https://m.media-amazon.com/images/I/41KgNYHnLFL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
light-blue,Light Blue,Dolce & Gabbana,editorial-hero,apps/web/public/ovl/light-blue.jpg,not-applicable,apps/web/public/ovl/light-blue.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
miss-dior-blooming-bouquet,Miss Dior Blooming Bouquet,Dior,catalog-primary,https://m.media-amazon.com/images/I/51E4e-ssTDL._SL1000_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
miss-dior-blooming-bouquet,Miss Dior Blooming Bouquet,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
miss-dior-edp,Miss Dior EDP,Dior,catalog-primary,https://m.media-amazon.com/images/I/51bTkvCCQSL._SL1024_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
miss-dior-edp,Miss Dior EDP,Dior,editorial-hero,apps/web/public/ovl/miss-dior-edp.jpg,not-applicable,apps/web/public/ovl/miss-dior-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
molecule-01,Molecule 01,Escentric Molecules,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/escentric-molecules/5060103310029_01-o/molecule-01___250512.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
molecule-01,Molecule 01,Escentric Molecules,editorial-hero,apps/web/public/ovl/molecule-01.jpg,not-applicable,apps/web/public/ovl/molecule-01.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
nishane-hacivat,Nishane Hacivat,Nishane,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/nishane/8681008055388_01-o/hacivat___250317.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
nishane-hacivat,Nishane Hacivat,Nishane,editorial-hero,apps/web/public/ovl/nishane-hacivat.jpg,not-applicable,apps/web/public/ovl/nishane-hacivat.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
oud-wood,Oud Wood,Tom Ford,catalog-primary,https://m.media-amazon.com/images/I/61HCNHc5LeL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
oud-wood,Oud Wood,Tom Ford,editorial-hero,apps/web/public/ovl/oud-wood.jpg,not-applicable,apps/web/public/ovl/oud-wood.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
pure-poison,Pure Poison,Dior,catalog-primary,https://m.media-amazon.com/images/I/51HJRYVjLHL._SL1024_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
pure-poison,Pure Poison,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
reflection-man,Reflection Man,Amouage,catalog-primary,https://m.media-amazon.com/images/I/61yifiaONJL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
reflection-man,Reflection Man,Amouage,editorial-hero,apps/web/public/ovl/reflection-man.jpg,not-applicable,apps/web/public/ovl/reflection-man.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
sauvage-edp,Sauvage EDT,Dior,catalog-primary,https://m.media-amazon.com/images/I/51F8MEfiKgL._SL1000_.jpg,m.media-amazon.com,not-applicable,affiliate-approved,1000,1000,1:1,white-studio,full-bottle,high,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. Piloto Fase 2 — revisión 2026-08-05: imagen verificada en vivo (1000x1000px). Fondo blanco de estudio, botella completa junto a su caja, alta nitidez, sin watermark de retailer visible. RESUELTO (Brey, 2026-08-06): la etiqueta de la caja/frasco dice 'EAU DE TOILETTE' porque el producto ES Sauvage EDT — el nombre de catálogo se corrigió de 'Sauvage EDP' a 'Sauvage EDT' (era el nombre el que estaba mal, no la imagen). license_status pasa a affiliate-approved: identidad y variante ahora coinciden. slug, image_url y enlace de Amazon se conservan sin cambios."
sauvage-edp,Sauvage EDT,Dior,editorial-hero,apps/web/public/ovl/sauvage-edp.jpg,not-applicable,apps/web/public/ovl/sauvage-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05. Nombre de producto actualizado a Sauvage EDT (RESOLUCIÓN Brey, 2026-08-06) — mockup y ruta sin cambios."
sauvage-elixir,Sauvage Elixir,Dior,catalog-primary,https://m.media-amazon.com/images/I/51gWkHSwhmL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05. CSV local (apps/api/data/PERFUMES_INITIAL_50.csv) desactualizado: no incluye este perfume si es uno de los 12 Dior de la decisión #89."
sauvage-elixir,Sauvage Elixir,Dior,editorial-hero,,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,unknown,not-started,not-applicable,not-audited,not-applicable,"Sin mockup OVL propio (uno de los 12 Dior agregados en decisión #89 de ESTADO-aromia.md). EditorialMood.tsx muestra placeholder de texto, comportamiento correcto ya implementado, no un bug. Verificado por ausencia de archivo 2026-08-05."
silver-mountain-water,Silver Mountain Water,Creed,catalog-primary,https://media.douglas.de/medias/qx8ldD988604-1-global.jpg?context=bWFzdGVyfGltYWdlc3wxMDYyMjl8aW1hZ2UvanBlZ3xhRGRtTDJnME1pODJPVGd4TlRZeE1URTVOVFF5TWk5eGVEaHNaRVE1T0RnMk1EUmZNVjluYkc5aVlXd3VhbkJufDA0MzBmY2RjZDdhNjNiOThlNWViNTZiOTUyMjBlN2M3OTg2NmRkZmVlMDUyMzc5MjNiMGE0NGNhNWMwMzNlNjI&grid=true,media.douglas.de,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde media.douglas.de, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
silver-mountain-water,Silver Mountain Water,Creed,editorial-hero,apps/web/public/ovl/silver-mountain-water.jpg,not-applicable,apps/web/public/ovl/silver-mountain-water.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
stronger-with-you,Stronger With You,Emporio Armani,catalog-primary,https://cdn.notinoimg.com/detail_main_mq/armani/03605522040588_01-o/emporio-stronger-with-you___171020.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
stronger-with-you,Stronger With You,Emporio Armani,editorial-hero,apps/web/public/ovl/stronger-with-you.jpg,not-applicable,apps/web/public/ovl/stronger-with-you.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
terre-d-hermes-edt,Terre d'Hermes EDT,Hermes,catalog-primary,https://m.media-amazon.com/images/I/51-fFGx+Y3L._SL1024_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
terre-d-hermes-edt,Terre d'Hermes EDT,Hermes,editorial-hero,apps/web/public/ovl/terre-d-hermes-edt.jpg,not-applicable,apps/web/public/ovl/terre-d-hermes-edt.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
versace-pour-homme,Versace Pour Homme,Versace,catalog-primary,https://cdn.notinoimg.com/detail_main_hq/versace/8011003995967_01-o/pour-homme___220510.jpg,cdn.notinoimg.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde cdn.notinoimg.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
versace-pour-homme,Versace Pour Homme,Versace,editorial-hero,apps/web/public/ovl/versace-pour-homme.jpg,not-applicable,apps/web/public/ovl/versace-pour-homme.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
wood-sage-sea-salt,Wood Sage & Sea Salt,Jo Malone,catalog-primary,https://m.media-amazon.com/images/I/61nj0JW-gyL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
wood-sage-sea-salt,Wood Sage & Sea Salt,Jo Malone,editorial-hero,apps/web/public/ovl/wood-sage-sea-salt.jpg,not-applicable,apps/web/public/ovl/wood-sage-sea-salt.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
y-edp,Y EDP,Yves Saint Laurent,catalog-primary,https://m.media-amazon.com/images/I/61ToOO2wMgL._SL1500_.jpg,m.media-amazon.com,not-applicable,unknown,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Hotlink directo desde m.media-amazon.com, misma imagen usada en catálogo y ficha de producto (campo imagen_url, GET /api/perfumes). Verificado en vivo 2026-08-05."
y-edp,Y EDP,Yves Saint Laurent,editorial-hero,apps/web/public/ovl/y-edp.jpg,not-applicable,apps/web/public/ovl/y-edp.jpg,unknown,not-audited,not-audited,not-audited,not-audited,not-applicable,not-audited,not-audited,not-started,not-applicable,not-audited,not-applicable,"Mockup narrativo OVL, ya vive en el repo (public/ovl/), consumido por EditorialMood.tsx vía editorialImages.ts. Verificado por presencia de archivo 2026-08-05."
